%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%	
%	Nome: Jhordan Abdalla Arrojo Martinez	
%	Nome: Stevan Mosquetti Ribeiro
%				
%											Perfil de Compatibilidade de Belinda
%	
%		Base de dados de rede social para classificar o nível de compatbilidade entre usuários baseado nos atributos abaixo:
%
% ATRIBUTO: sexo 			(nominal). 	Femino,Masculino.
% ATRIBUTO: popularidade 	(nominal). 	Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa.
% ATRIBUTO: signo 			(nominal). 	Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes.
% ATRIBUTO: etnia 			(nominal). 	Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico.
% ATRIBUTO: corDosOlhos 	(nominal). 	Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto.
% ATRIBUTO: corDoCabelo 	(nominal). 	Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho.
% ATRIBUTO: biotipo 		(nominal)	Endomorfo,Ectomorfo,Mesomorfo.
% ATRIBUTO:	tipoFisico 		(nominal)	Gordo,Magro,Atletico,Bombado,Raquitico,Obeso.
% ATRIBUTO: classe 			(classe) 	Compativel,Incompativel,Quase-Compativel,Quase-Incompativel.
%
% EXEMPLO: Ashton Kutcher
%			popularidade: Alta
%			signo: Aquario
%			etnia: Caucasiano
%			corDosOlhos: Castanho-Escuro
%			corDoCabelo: Castanho-Escuro
%			biotipo: Ectomorfo
%			tipoFisico: Atletico
%			classe: Compativel
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION perfil

@ATTRIBUTE sexo 			{Femino,Masculino}
@ATTRIBUTE popularidade		{Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa}
@ATTRIBUTE signo 			{Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes}
@ATTRIBUTE etnia 			{Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico}
@ATTRIBUTE corDosOlhos 		{Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto}
@ATTRIBUTE corDoCabelo 		{Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho}
@ATTRIBUTE biotipo 			{Endomorfo,Ectomorfo,Mesomorfo}
@ATTRIBUTE tipoFisico 		{Gordo,Magro,Atletico,Bombado,Raquitico,Obeso}
@ATTRIBUTE classe			{Compativel,Incompativel,Quase-Compativel,Quase-Incompativel}

@DATA
Masculino,Media,Leao,Mulato,Preto,Grisalho,Ectomorfo,Bombado,Quase-Incompativel
Femino,Baixa,Libra,Afrodescendente,Castanho-Claro,Branco,Endomorfo,Bombado,Quase-Incompativel
Femino,Baixa,Gemeos,Afrodescendente,Verde-claro,Castanho-Escuro,Mesomorfo,Gordo,Quase-Incompativel
Masculino,Acima-da-Media,Aquario,Afrodescendente,Castanho-Medio,Castanho-Claro,Ectomorfo,Atletico,Quase-Incompativel
Masculino,Baixa,Capricornio,Caucasiano,Castanho-Claro,Loiro-Escuro,Endomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Libra,Afrodescendente,Preto,Castanho-Escuro,Mesomorfo,Atletico,Incompativel
Femino,Acima-da-Media,Escorpiao,Mulato,Castanho-Escuro,Grisalho,Mesomorfo,Gordo,Quase-Incompativel
Femino,Abaixo-da-Media,Peixes,Asiatico,Castanho-Claro,Castanho-Escuro,Mesomorfo,Obeso,Quase-Incompativel
Femino,Media,Touro,Mulato,Castanho-Medio,Preto,Ectomorfo,Bombado,Quase-Incompativel
Masculino,Baixa,Aries,Asiatico,Preto,Castanho-Medio,Mesomorfo,Magro,Incompativel
Femino,Media,Sagitario,Afrodescendente,Preto,Grisalho,Mesomorfo,Atletico,Incompativel
Masculino,Baixa,Capricornio,Afrodescendente,Castanho-Medio,Castanho-Medio,Mesomorfo,Raquitico,Incompativel
Masculino,Acima-da-Media,Aries,Afrodescendente,Castanho-Claro,Castanho-Claro,Ectomorfo,Gordo,Incompativel
Masculino,Media,Escorpiao,Asiatico,Castanho-Escuro,Grisalho,Mesomorfo,Obeso,Quase-Compativel
Masculino,Alta,Sagitario,Pardo,Castanho-Medio,Grisalho,Endomorfo,Atletico,Compativel
Femino,Acima-da-Media,Peixes,Pardo,Verde-Medio,Grisalho,Ectomorfo,Gordo,Quase-Incompativel
Masculino,Media,Cancer,Pardo,Verde-claro,Ruivo-Medio,Ectomorfo,Atletico,Quase-Incompativel
Femino,Abaixo-da-Media,Aquario,Asiatico,Castanho-Medio,Castanho-Escuro,Endomorfo,Magro,Incompativel
Femino,Abaixo-da-Media,Libra,Caucasiano,Castanho-Claro,Ruivo-claro,Mesomorfo,Magro,Incompativel
Femino,Alta,Leao,Pardo,Verde-claro,Castanho-Claro,Ectomorfo,Obeso,Incompativel
Masculino,Acima-da-Media,Capricornio,Mulato,Verde-Medio,Grisalho,Mesomorfo,Gordo,Quase-Incompativel
Femino,Baixa,Gemeos,Mulato,Castanho-Claro,Castanho-Claro,Endomorfo,Magro,Incompativel
Femino,Abaixo-da-Media,Leao,Afrodescendente,Verde-Medio,Branco,Ectomorfo,Gordo,Quase-Incompativel
Femino,Alta,Sagitario,Afrodescendente,Verde-Escuro,Castanho-Claro,Ectomorfo,Obeso,Incompativel
Femino,Abaixo-da-Media,Sagitario,Pardo,Preto,Castanho-Claro,Ectomorfo,Gordo,Quase-Incompativel
Femino,Media,Libra,Pardo,Castanho-Escuro,Preto,Ectomorfo,Bombado,Quase-Incompativel
Masculino,Acima-da-Media,Aries,Mulato,Verde-claro,Castanho-Medio,Mesomorfo,Obeso,Quase-Compativel
Femino,Media,Sagitario,Pardo,Preto,Preto,Mesomorfo,Atletico,Incompativel
Femino,Alta,Aquario,Mulato,Preto,Castanho-Escuro,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Alta,Gemeos,Pardo,Castanho-Escuro,Preto,Ectomorfo,Magro,Compativel
Masculino,Media,Escorpiao,Pardo,Castanho-Escuro,Preto,Ectomorfo,Obeso,Quase-Incompativel
Masculino,Abaixo-da-Media,Sagitario,Asiatico,Castanho-Escuro,Castanho-Claro,Mesomorfo,Obeso,Quase-Incompativel
Femino,Alta,Sagitario,Afrodescendente,Verde-Medio,Ruivo-Medio,Ectomorfo,Bombado,Quase-Incompativel
Femino,Media,Cancer,Asiatico,Castanho-Escuro,Ruivo-Medio,Endomorfo,Atletico,Incompativel
Femino,Media,Touro,Asiatico,Castanho-Escuro,Castanho-Medio,Ectomorfo,Raquitico,Incompativel
Masculino,Abaixo-da-Media,Aquario,Afrodescendente,Preto,Castanho-Escuro,Ectomorfo,Magro,Compativel
Masculino,Media,Libra,Caucasiano,Preto,Preto,Endomorfo,Magro,Compativel
Femino,Acima-da-Media,Virgem,Mulato,Verde-Escuro,Branco,Endomorfo,Gordo,Quase-Incompativel
Femino,Abaixo-da-Media,Cancer,Mulato,Verde-Escuro,Ruivo-Medio,Endomorfo,Obeso,Incompativel
Femino,Alta,Cancer,Pardo,Castanho-Medio,Branco,Mesomorfo,Obeso,Quase-Incompativel
Femino,Acima-da-Media,Gemeos,Afrodescendente,Preto,Branco,Mesomorfo,Raquitico,Incompativel
Masculino,Media,Aries,Caucasiano,Verde-Escuro,Loiro-Escuro,Endomorfo,Bombado,Quase-Compativel
Femino,Acima-da-Media,Capricornio,Caucasiano,Verde-Medio,Ruivo-claro,Mesomorfo,Magro,Incompativel
Femino,Abaixo-da-Media,Escorpiao,Afrodescendente,Castanho-Escuro,Castanho-Medio,Mesomorfo,Gordo,Incompativel
Femino,Abaixo-da-Media,Aries,Pardo,Verde-claro,Grisalho,Mesomorfo,Atletico,Incompativel
Masculino,Alta,Virgem,Afrodescendente,Preto,Castanho-Claro,Endomorfo,Raquitico,Incompativel
Femino,Media,Gemeos,Caucasiano,Azul-Escuro,Loiro-Escuro,Endomorfo,Magro,Incompativel
Femino,Media,Capricornio,Pardo,Verde-Escuro,Branco,Ectomorfo,Magro,Incompativel
Masculino,Alta,Sagitario,Pardo,Castanho-Claro,Castanho-Claro,Endomorfo,Raquitico,Compativel
Masculino,Baixa,Peixes,Mulato,Castanho-Medio,Preto,Mesomorfo,Bombado,Incompativel
Femino,Alta,Gemeos,Afrodescendente,Castanho-Escuro,Branco,Mesomorfo,Obeso,Quase-Incompativel
Masculino,Media,Touro,Asiatico,Castanho-Claro,Preto,Mesomorfo,Atletico,Incompativel
Masculino,Media,Gemeos,Pardo,Castanho-Medio,Castanho-Escuro,Ectomorfo,Magro,Quase-Compativel
Masculino,Baixa,Sagitario,Asiatico,Castanho-Escuro,Ruivo-Medio,Mesomorfo,Atletico,Incompativel
Masculino,Alta,Leao,Mulato,Verde-Medio,Preto,Mesomorfo,Atletico,Quase-Compativel
Masculino,Acima-da-Media,Aries,Afrodescendente,Verde-Medio,Castanho-Medio,Ectomorfo,Atletico,Quase-Compativel
Femino,Media,Leao,Afrodescendente,Castanho-Medio,Ruivo-Medio,Endomorfo,Gordo,Quase-Incompativel
Masculino,Baixa,Virgem,Caucasiano,Castanho-Medio,Castanho-Medio,Ectomorfo,Gordo,Quase-Incompativel
Femino,Baixa,Gemeos,Afrodescendente,Castanho-Medio,Castanho-Claro,Ectomorfo,Atletico,Incompativel
Femino,Alta,Touro,Afrodescendente,Castanho-Escuro,Preto,Endomorfo,Bombado,Quase-Incompativel
Masculino,Acima-da-Media,Leao,Caucasiano,Castanho-Escuro,Grisalho,Mesomorfo,Magro,Quase-Incompativel
Femino,Alta,Capricornio,Caucasiano,Castanho-Claro,Ruivo-claro,Mesomorfo,Obeso,Quase-Incompativel
Femino,Alta,Capricornio,Mulato,Castanho-Medio,Grisalho,Mesomorfo,Atletico,Incompativel
Masculino,Acima-da-Media,Capricornio,Asiatico,Castanho-Escuro,Castanho-Escuro,Ectomorfo,Magro,Quase-Compativel
Femino,Acima-da-Media,Libra,Afrodescendente,Castanho-Claro,Preto,Endomorfo,Atletico,Quase-Incompativel
Femino,Baixa,Aries,Caucasiano,Verde-Escuro,Grisalho,Endomorfo,Bombado,Quase-Incompativel
Femino,Abaixo-da-Media,Sagitario,Afrodescendente,Verde-Medio,Preto,Mesomorfo,Magro,Incompativel
Femino,Media,Sagitario,Mulato,Castanho-Claro,Preto,Endomorfo,Gordo,Quase-Incompativel
Femino,Abaixo-da-Media,Aquario,Pardo,Verde-Medio,Castanho-Medio,Endomorfo,Bombado,Quase-Incompativel
Femino,Acima-da-Media,Sagitario,Asiatico,Castanho-Medio,Preto,Mesomorfo,Atletico,Incompativel
Masculino,Media,Libra,Mulato,Verde-Escuro,Ruivo-Medio,Mesomorfo,Magro,Quase-Incompativel
Femino,Acima-da-Media,Sagitario,Asiatico,Castanho-Medio,Preto,Endomorfo,Magro,Incompativel
Femino,Alta,Aquario,Asiatico,Castanho-Claro,Ruivo-Medio,Endomorfo,Atletico,Quase-Incompativel
Femino,Abaixo-da-Media,Aquario,Caucasiano,Verde-Escuro,Castanho-Medio,Mesomorfo,Bombado,Quase-Incompativel
Femino,Alta,Aquario,Asiatico,Preto,Ruivo-Medio,Endomorfo,Atletico,Incompativel
Masculino,Media,Gemeos,Mulato,Castanho-Claro,Branco,Mesomorfo,Atletico,Quase-Incompativel
Masculino,Baixa,Peixes,Mulato,Castanho-Claro,Grisalho,Endomorfo,Atletico,Quase-Incompativel
Femino,Media,Sagitario,Asiatico,Castanho-Medio,Ruivo-Medio,Mesomorfo,Magro,Quase-Incompativel
Masculino,Abaixo-da-Media,Gemeos,Mulato,Verde-Escuro,Preto,Ectomorfo,Raquitico,Incompativel
Femino,Abaixo-da-Media,Sagitario,Caucasiano,Azul-Medio,Grisalho,Ectomorfo,Magro,Quase-Incompativel
Masculino,Abaixo-da-Media,Cancer,Afrodescendente,Verde-Escuro,Preto,Ectomorfo,Obeso,Quase-Incompativel
Femino,Acima-da-Media,Aquario,Asiatico,Castanho-Medio,Castanho-Escuro,Endomorfo,Bombado,Quase-Incompativel
Femino,Alta,Aquario,Caucasiano,Preto,Loiro-Escuro,Mesomorfo,Raquitico,Quase-Incompativel
Femino,Media,Gemeos,Caucasiano,Verde-Escuro,Preto,Endomorfo,Bombado,Quase-Incompativel
Femino,Alta,Capricornio,Afrodescendente,Castanho-Escuro,Castanho-Escuro,Endomorfo,Magro,Incompativel
Femino,Baixa,Gemeos,Caucasiano,Azul-Claro,Loiro-Claro,Mesomorfo,Bombado,Quase-Incompativel
Masculino,Baixa,Leao,Afrodescendente,Verde-Medio,Grisalho,Ectomorfo,Magro,Quase-Incompativel
Femino,Baixa,Capricornio,Caucasiano,Azul-Claro,Branco,Ectomorfo,Magro,Quase-Incompativel
Femino,Baixa,Gemeos,Caucasiano,Castanho-Medio,Preto,Ectomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Aquario,Afrodescendente,Verde-Escuro,Castanho-Medio,Ectomorfo,Magro,Compativel
Femino,Alta,Sagitario,Pardo,Preto,Castanho-Medio,Endomorfo,Bombado,Quase-Incompativel
Femino,Abaixo-da-Media,Virgem,Asiatico,Preto,Grisalho,Mesomorfo,Magro,Quase-Incompativel
Femino,Abaixo-da-Media,Capricornio,Caucasiano,Azul-Escuro,Grisalho,Mesomorfo,Bombado,Incompativel
Masculino,Baixa,Gemeos,Pardo,Preto,Ruivo-Medio,Endomorfo,Obeso,Incompativel
Femino,Baixa,Leao,Afrodescendente,Verde-claro,Castanho-Medio,Mesomorfo,Atletico,Quase-Incompativel
Femino,Media,Escorpiao,Caucasiano,Azul-Escuro,Preto,Mesomorfo,Bombado,Incompativel
Femino,Alta,Cancer,Pardo,Verde-Escuro,Castanho-Claro,Endomorfo,Raquitico,Quase-Incompativel
Femino,Acima-da-Media,Aries,Afrodescendente,Preto,Branco,Endomorfo,Raquitico,Incompativel
Masculino,Abaixo-da-Media,Capricornio,Caucasiano,Castanho-Claro,Grisalho,Ectomorfo,Bombado,Quase-Incompativel
Masculino,Alta,Capricornio,Mulato,Verde-claro,Preto,Mesomorfo,Atletico,Quase-Compativel
Masculino,Acima-da-Media,Capricornio,Pardo,Castanho-Claro,Preto,Endomorfo,Bombado,Compativel
Masculino,Abaixo-da-Media,Touro,Pardo,Castanho-Medio,Castanho-Escuro,Ectomorfo,Atletico,Incompativel
Femino,Media,Aries,Mulato,Verde-Medio,Preto,Ectomorfo,Obeso,Quase-Incompativel
Femino,Alta,Cancer,Pardo,Verde-claro,Preto,Mesomorfo,Bombado,Quase-Incompativel
Masculino,Abaixo-da-Media,Cancer,Asiatico,Castanho-Claro,Castanho-Escuro,Ectomorfo,Magro,Quase-Incompativel
Femino,Abaixo-da-Media,Sagitario,Asiatico,Castanho-Escuro,Grisalho,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Abaixo-da-Media,Gemeos,Afrodescendente,Castanho-Medio,Branco,Endomorfo,Bombado,Quase-Incompativel
Masculino,Abaixo-da-Media,Aquario,Mulato,Verde-claro,Ruivo-Medio,Mesomorfo,Raquitico,Quase-Compativel
Masculino,Alta,Escorpiao,Asiatico,Castanho-Escuro,Castanho-Escuro,Endomorfo,Bombado,Quase-Compativel
Femino,Acima-da-Media,Leao,Pardo,Verde-Escuro,Castanho-Claro,Ectomorfo,Atletico,Quase-Incompativel
Femino,Acima-da-Media,Sagitario,Caucasiano,Preto,Grisalho,Endomorfo,Bombado,Quase-Incompativel
Femino,Media,Virgem,Pardo,Castanho-Escuro,Preto,Mesomorfo,Raquitico,Incompativel
Femino,Baixa,Touro,Pardo,Verde-Escuro,Preto,Endomorfo,Obeso,Quase-Incompativel
Femino,Media,Sagitario,Pardo,Castanho-Escuro,Grisalho,Ectomorfo,Gordo,Incompativel
Masculino,Media,Leao,Mulato,Castanho-Medio,Preto,Endomorfo,Gordo,Quase-Incompativel
Femino,Media,Peixes,Caucasiano,Preto,Ruivo-Medio,Endomorfo,Raquitico,Incompativel
Masculino,Acima-da-Media,Cancer,Pardo,Castanho-Medio,Grisalho,Endomorfo,Gordo,Quase-Compativel
Femino,Media,Gemeos,Afrodescendente,Castanho-Medio,Grisalho,Ectomorfo,Raquitico,Incompativel
Femino,Alta,Cancer,Asiatico,Castanho-Escuro,Ruivo-Medio,Mesomorfo,Atletico,Incompativel
Masculino,Alta,Leao,Asiatico,Preto,Grisalho,Endomorfo,Bombado,Incompativel
Masculino,Abaixo-da-Media,Escorpiao,Afrodescendente,Castanho-Medio,Branco,Mesomorfo,Gordo,Incompativel
Femino,Alta,Libra,Asiatico,Preto,Branco,Ectomorfo,Bombado,Incompativel
Masculino,Media,Aries,Mulato,Verde-Medio,Castanho-Escuro,Mesomorfo,Bombado,Quase-Compativel
Femino,Acima-da-Media,Peixes,Asiatico,Castanho-Medio,Preto,Ectomorfo,Bombado,Quase-Incompativel
Femino,Acima-da-Media,Libra,Pardo,Castanho-Claro,Branco,Ectomorfo,Gordo,Incompativel
Femino,Alta,Cancer,Pardo,Castanho-Claro,Branco,Ectomorfo,Obeso,Quase-Incompativel
Femino,Baixa,Capricornio,Afrodescendente,Castanho-Escuro,Castanho-Escuro,Mesomorfo,Raquitico,Quase-Incompativel
Masculino,Acima-da-Media,Touro,Asiatico,Castanho-Medio,Branco,Endomorfo,Obeso,Incompativel
Femino,Alta,Libra,Afrodescendente,Castanho-Claro,Branco,Mesomorfo,Obeso,Quase-Incompativel
Masculino,Abaixo-da-Media,Aquario,Afrodescendente,Castanho-Claro,Castanho-Escuro,Mesomorfo,Obeso,Incompativel
Masculino,Alta,Gemeos,Pardo,Preto,Castanho-Medio,Endomorfo,Bombado,Quase-Incompativel
Masculino,Baixa,Capricornio,Caucasiano,Azul-Medio,Loiro-Medio,Mesomorfo,Atletico,Quase-Incompativel
Femino,Abaixo-da-Media,Virgem,Pardo,Verde-Escuro,Grisalho,Ectomorfo,Gordo,Incompativel
Femino,Alta,Aquario,Mulato,Castanho-Claro,Preto,Ectomorfo,Atletico,Incompativel
Masculino,Baixa,Gemeos,Pardo,Verde-Medio,Grisalho,Endomorfo,Obeso,Incompativel
Masculino,Baixa,Aries,Asiatico,Castanho-Claro,Preto,Mesomorfo,Bombado,Incompativel
Masculino,Acima-da-Media,Aries,Pardo,Castanho-Medio,Preto,Ectomorfo,Gordo,Compativel
Femino,Abaixo-da-Media,Gemeos,Asiatico,Castanho-Escuro,Ruivo-Medio,Mesomorfo,Raquitico,Incompativel
Masculino,Acima-da-Media,Libra,Afrodescendente,Verde-Escuro,Castanho-Medio,Mesomorfo,Raquitico,Incompativel
Femino,Acima-da-Media,Sagitario,Asiatico,Castanho-Claro,Ruivo-Medio,Ectomorfo,Obeso,Incompativel
Masculino,Media,Leao,Asiatico,Preto,Castanho-Claro,Mesomorfo,Gordo,Incompativel
Femino,Acima-da-Media,Leao,Pardo,Preto,Castanho-Medio,Endomorfo,Magro,Incompativel
Masculino,Baixa,Peixes,Afrodescendente,Castanho-Escuro,Castanho-Claro,Mesomorfo,Magro,Quase-Incompativel
Femino,Alta,Peixes,Mulato,Castanho-Medio,Ruivo-Medio,Ectomorfo,Magro,Incompativel
Masculino,Acima-da-Media,Capricornio,Mulato,Verde-claro,Branco,Mesomorfo,Obeso,Compativel
Masculino,Acima-da-Media,Leao,Mulato,Verde-Medio,Ruivo-Medio,Ectomorfo,Magro,Quase-Compativel
Masculino,Acima-da-Media,Cancer,Afrodescendente,Verde-Escuro,Preto,Mesomorfo,Raquitico,Compativel
Masculino,Alta,Libra,Asiatico,Castanho-Escuro,Castanho-Medio,Ectomorfo,Bombado,Quase-Compativel
Masculino,Baixa,Peixes,Caucasiano,Azul-Medio,Loiro-Escuro,Endomorfo,Gordo,Incompativel
Femino,Alta,Virgem,Pardo,Verde-Escuro,Castanho-Medio,Ectomorfo,Gordo,Incompativel
Femino,Acima-da-Media,Sagitario,Afrodescendente,Verde-Medio,Castanho-Claro,Ectomorfo,Gordo,Incompativel
