%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%	
%	Nome: Jhordan Abdalla Arrojo Martinez	
%	Nome: Stevan Mosquetti Ribeiro
%				
%											Perfil de Compatibilidade de Belinda
%	
%		Base de dados de rede social para classificar o nível de compatbilidade entre usuários baseado nos atributos abaixo:
%
% ATRIBUTO: sexo 			(nominal). 	Femino,Masculino.
% ATRIBUTO: popularidade 	(nominal). 	Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa.
% ATRIBUTO: signo 			(nominal). 	Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes.
% ATRIBUTO: etnia 			(nominal). 	Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico.
% ATRIBUTO: corDosOlhos 	(nominal). 	Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto.
% ATRIBUTO: corDoCabelo 	(nominal). 	Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho.
% ATRIBUTO: biotipo 		(nominal)	Endomorfo,Ectomorfo,Mesomorfo.
% ATRIBUTO:	tipoFisico 		(nominal)	Gordo,Magro,Atletico,Bombado,Raquitico,Obeso.
% ATRIBUTO: classe 			(classe) 	Compativel,Incompativel,Quase-Compativel,Quase-Incompativel.
%
% EXEMPLO: Ashton Kutcher
%			popularidade: Alta
%			signo: Aquario
%			etnia: Caucasiano
%			corDosOlhos: Castanho-Escuro
%			corDoCabelo: Castanho-Escuro
%			biotipo: Ectomorfo
%			tipoFisico: Atletico
%			classe: Compativel
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION perfil

@ATTRIBUTE sexo 			{Femino,Masculino}
@ATTRIBUTE popularidade		{Alta,Acima-da-Media,Media,Abaixo-da-Media,Baixa}
@ATTRIBUTE signo 			{Aries,Touro,Gemeos,Cancer,Leao,Virgem,Libra,Escorpiao,Sagitario,Capricornio,Aquario,Peixes}
@ATTRIBUTE etnia 			{Caucasiano,Afrodescendente,Pardo,Mulato,Asiatico}
@ATTRIBUTE corDosOlhos 		{Azul-Claro,Azul-Escuro,Azul-Medio,Verde-claro,Verde-Escuro,Verde-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto}
@ATTRIBUTE corDoCabelo 		{Loiro-Claro,Loiro-Escuro,Loiro-Medio,Ruivo-claro,Ruivo-Escuro,Ruivo-Medio,Castanho-Claro,Castanho-Medio,Castanho-Escuro,Preto,Branco,Grisalho}
@ATTRIBUTE biotipo 			{Endomorfo,Ectomorfo,Mesomorfo}
@ATTRIBUTE tipoFisico 		{Gordo,Magro,Atletico,Bombado,Raquitico,Obeso}
@ATTRIBUTE classe			{Compativel,Incompativel,Quase-Compativel,Quase-Incompativel}

@DATA
Femino,Abaixo-da-Media,Escorpiao,Mulato,Castanho-Medio,Castanho-Escuro,Mesomorfo,Magro,Incompativel
Masculino,Baixa,Aquario,Mulato,Verde-claro,Preto,Endomorfo,Atletico,Incompativel
Femino,Media,Libra,Mulato,Verde-Medio,Preto,Ectomorfo,Bombado,Quase-Incompativel
Masculino,Abaixo-da-Media,Leao,Mulato,Verde-claro,Castanho-Claro,Ectomorfo,Gordo,Incompativel
Femino,Acima-da-Media,Aries,Pardo,Verde-Escuro,Castanho-Medio,Ectomorfo,Obeso,Incompativel
Femino,Baixa,Sagitario,Mulato,Verde-claro,Preto,Ectomorfo,Raquitico,Quase-Incompativel
Masculino,Media,Sagitario,Afrodescendente,Verde-claro,Preto,Endomorfo,Magro,Quase-Compativel
Masculino,Baixa,Touro,Asiatico,Preto,Grisalho,Mesomorfo,Atletico,Incompativel
Masculino,Alta,Gemeos,Caucasiano,Verde-Escuro,Loiro-Claro,Ectomorfo,Obeso,Quase-Incompativel
Femino,Abaixo-da-Media,Escorpiao,Pardo,Preto,Castanho-Medio,Ectomorfo,Raquitico,Incompativel
Masculino,Baixa,Aquario,Pardo,Castanho-Escuro,Castanho-Claro,Ectomorfo,Obeso,Quase-Incompativel
Femino,Acima-da-Media,Touro,Afrodescendente,Verde-claro,Preto,Endomorfo,Obeso,Quase-Incompativel
Femino,Abaixo-da-Media,Sagitario,Caucasiano,Castanho-Claro,Preto,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Baixa,Virgem,Pardo,Castanho-Medio,Castanho-Claro,Mesomorfo,Magro,Quase-Incompativel
Femino,Abaixo-da-Media,Aries,Mulato,Verde-Medio,Castanho-Claro,Mesomorfo,Raquitico,Quase-Incompativel
Masculino,Baixa,Touro,Caucasiano,Verde-claro,Branco,Endomorfo,Gordo,Incompativel
Femino,Media,Aries,Pardo,Preto,Castanho-Medio,Ectomorfo,Atletico,Quase-Incompativel
Femino,Alta,Gemeos,Asiatico,Castanho-Escuro,Ruivo-Medio,Endomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Aries,Pardo,Verde-Escuro,Ruivo-Medio,Mesomorfo,Gordo,Incompativel
Masculino,Media,Virgem,Asiatico,Castanho-Escuro,Castanho-Escuro,Ectomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Cancer,Pardo,Verde-claro,Castanho-Medio,Ectomorfo,Obeso,Quase-Incompativel
Masculino,Baixa,Escorpiao,Pardo,Castanho-Medio,Grisalho,Mesomorfo,Gordo,Quase-Incompativel
Femino,Acima-da-Media,Touro,Asiatico,Castanho-Medio,Grisalho,Ectomorfo,Obeso,Incompativel
Masculino,Alta,Peixes,Mulato,Castanho-Claro,Castanho-Claro,Mesomorfo,Raquitico,Compativel
Femino,Acima-da-Media,Virgem,Caucasiano,Castanho-Claro,Ruivo-Medio,Mesomorfo,Magro,Incompativel
Femino,Alta,Peixes,Caucasiano,Azul-Claro,Ruivo-Escuro,Endomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Aquario,Asiatico,Castanho-Claro,Branco,Ectomorfo,Atletico,Incompativel
Femino,Alta,Libra,Mulato,Castanho-Claro,Ruivo-Medio,Endomorfo,Bombado,Quase-Incompativel
Femino,Abaixo-da-Media,Capricornio,Mulato,Castanho-Medio,Grisalho,Ectomorfo,Gordo,Quase-Incompativel
Masculino,Baixa,Touro,Asiatico,Preto,Castanho-Escuro,Ectomorfo,Bombado,Incompativel
Masculino,Alta,Aquario,Afrodescendente,Castanho-Claro,Branco,Endomorfo,Raquitico,Compativel
Masculino,Acima-da-Media,Gemeos,Pardo,Castanho-Medio,Grisalho,Ectomorfo,Obeso,Incompativel
Femino,Abaixo-da-Media,Virgem,Caucasiano,Azul-Escuro,Castanho-Medio,Ectomorfo,Atletico,Incompativel
Femino,Abaixo-da-Media,Capricornio,Pardo,Castanho-Escuro,Grisalho,Mesomorfo,Obeso,Incompativel
Femino,Media,Sagitario,Caucasiano,Verde-Medio,Loiro-Medio,Ectomorfo,Obeso,Quase-Incompativel
Femino,Media,Leao,Asiatico,Castanho-Escuro,Castanho-Medio,Endomorfo,Obeso,Incompativel
Masculino,Baixa,Escorpiao,Mulato,Verde-Escuro,Branco,Mesomorfo,Atletico,Quase-Incompativel
Femino,Alta,Libra,Pardo,Castanho-Escuro,Branco,Endomorfo,Gordo,Incompativel
Masculino,Baixa,Leao,Pardo,Preto,Grisalho,Mesomorfo,Magro,Quase-Incompativel
Masculino,Alta,Peixes,Caucasiano,Castanho-Medio,Branco,Endomorfo,Atletico,Compativel
Femino,Acima-da-Media,Gemeos,Asiatico,Castanho-Claro,Castanho-Escuro,Ectomorfo,Atletico,Incompativel
Femino,Alta,Virgem,Pardo,Preto,Castanho-Claro,Endomorfo,Bombado,Quase-Incompativel
Femino,Baixa,Peixes,Afrodescendente,Verde-Medio,Grisalho,Ectomorfo,Obeso,Quase-Incompativel
Femino,Baixa,Peixes,Caucasiano,Castanho-Medio,Ruivo-claro,Ectomorfo,Bombado,Quase-Incompativel
Masculino,Acima-da-Media,Leao,Mulato,Verde-claro,Castanho-Escuro,Mesomorfo,Bombado,Quase-Compativel
Femino,Abaixo-da-Media,Aquario,Mulato,Verde-Escuro,Grisalho,Endomorfo,Magro,Incompativel
Femino,Media,Capricornio,Mulato,Castanho-Escuro,Branco,Endomorfo,Atletico,Quase-Incompativel
Masculino,Media,Escorpiao,Afrodescendente,Castanho-Claro,Preto,Ectomorfo,Gordo,Compativel
Masculino,Abaixo-da-Media,Capricornio,Pardo,Castanho-Escuro,Branco,Mesomorfo,Magro,Quase-Incompativel
Femino,Media,Libra,Afrodescendente,Castanho-Claro,Ruivo-Medio,Mesomorfo,Magro,Quase-Incompativel
Masculino,Abaixo-da-Media,Escorpiao,Mulato,Castanho-Escuro,Castanho-Medio,Ectomorfo,Bombado,Quase-Incompativel
Femino,Media,Gemeos,Pardo,Verde-claro,Castanho-Escuro,Mesomorfo,Bombado,Quase-Incompativel
Femino,Alta,Escorpiao,Asiatico,Preto,Castanho-Claro,Endomorfo,Raquitico,Quase-Incompativel
Femino,Alta,Gemeos,Afrodescendente,Preto,Preto,Mesomorfo,Obeso,Quase-Incompativel
Femino,Alta,Cancer,Caucasiano,Verde-claro,Ruivo-Medio,Endomorfo,Gordo,Incompativel
Masculino,Alta,Peixes,Afrodescendente,Verde-Escuro,Castanho-Medio,Mesomorfo,Magro,Compativel
Femino,Alta,Peixes,Asiatico,Castanho-Medio,Castanho-Medio,Endomorfo,Gordo,Incompativel
Masculino,Media,Sagitario,Afrodescendente,Verde-Medio,Preto,Mesomorfo,Obeso,Incompativel
Femino,Acima-da-Media,Virgem,Asiatico,Castanho-Medio,Castanho-Claro,Mesomorfo,Bombado,Incompativel
Femino,Acima-da-Media,Capricornio,Mulato,Castanho-Medio,Preto,Endomorfo,Gordo,Quase-Incompativel
Masculino,Abaixo-da-Media,Escorpiao,Afrodescendente,Castanho-Claro,Castanho-Claro,Ectomorfo,Bombado,Quase-Incompativel
Femino,Alta,Gemeos,Asiatico,Castanho-Claro,Castanho-Escuro,Ectomorfo,Bombado,Incompativel
Masculino,Abaixo-da-Media,Sagitario,Asiatico,Castanho-Medio,Ruivo-Medio,Endomorfo,Atletico,Incompativel
Femino,Alta,Capricornio,Caucasiano,Castanho-Medio,Branco,Mesomorfo,Obeso,Quase-Incompativel
Femino,Baixa,Virgem,Afrodescendente,Castanho-Medio,Grisalho,Mesomorfo,Obeso,Incompativel
Masculino,Media,Peixes,Asiatico,Preto,Ruivo-Medio,Mesomorfo,Atletico,Quase-Compativel
Femino,Acima-da-Media,Capricornio,Asiatico,Castanho-Escuro,Castanho-Claro,Mesomorfo,Gordo,Quase-Incompativel
Femino,Baixa,Cancer,Asiatico,Preto,Grisalho,Endomorfo,Bombado,Quase-Incompativel
Masculino,Baixa,Cancer,Caucasiano,Azul-Escuro,Loiro-Claro,Endomorfo,Bombado,Quase-Incompativel
Masculino,Abaixo-da-Media,Libra,Mulato,Preto,Castanho-Medio,Endomorfo,Magro,Quase-Incompativel
Masculino,Alta,Cancer,Asiatico,Preto,Branco,Mesomorfo,Bombado,Quase-Compativel
Masculino,Alta,Leao,Caucasiano,Castanho-Medio,Castanho-Escuro,Mesomorfo,Magro,Compativel
Masculino,Baixa,Cancer,Mulato,Castanho-Escuro,Castanho-Claro,Mesomorfo,Obeso,Quase-Incompativel
Masculino,Abaixo-da-Media,Cancer,Pardo,Castanho-Medio,Castanho-Medio,Ectomorfo,Atletico,Incompativel
Femino,Acima-da-Media,Touro,Afrodescendente,Castanho-Claro,Preto,Mesomorfo,Obeso,Quase-Incompativel
Masculino,Media,Aries,Pardo,Verde-Medio,Castanho-Escuro,Mesomorfo,Raquitico,Quase-Compativel
Masculino,Acima-da-Media,Cancer,Pardo,Castanho-Escuro,Grisalho,Ectomorfo,Raquitico,Incompativel
Masculino,Baixa,Libra,Caucasiano,Azul-Escuro,Castanho-Medio,Endomorfo,Gordo,Quase-Incompativel
Masculino,Abaixo-da-Media,Sagitario,Asiatico,Castanho-Medio,Grisalho,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Alta,Touro,Mulato,Verde-Medio,Ruivo-Medio,Mesomorfo,Gordo,Compativel
Femino,Acima-da-Media,Escorpiao,Asiatico,Castanho-Escuro,Preto,Mesomorfo,Atletico,Incompativel
Masculino,Acima-da-Media,Cancer,Pardo,Castanho-Escuro,Ruivo-Medio,Endomorfo,Gordo,Quase-Compativel
Masculino,Baixa,Virgem,Pardo,Verde-claro,Grisalho,Mesomorfo,Raquitico,Quase-Incompativel
Femino,Acima-da-Media,Leao,Pardo,Verde-Escuro,Preto,Mesomorfo,Obeso,Incompativel
Masculino,Alta,Sagitario,Mulato,Castanho-Claro,Preto,Endomorfo,Bombado,Quase-Compativel
Femino,Media,Gemeos,Asiatico,Preto,Branco,Mesomorfo,Raquitico,Incompativel
Masculino,Alta,Virgem,Caucasiano,Azul-Medio,Ruivo-claro,Mesomorfo,Obeso,Incompativel
Masculino,Acima-da-Media,Gemeos,Pardo,Castanho-Claro,Castanho-Medio,Ectomorfo,Atletico,Quase-Compativel
Masculino,Alta,Capricornio,Afrodescendente,Castanho-Escuro,Castanho-Escuro,Ectomorfo,Atletico,Compativel
Femino,Acima-da-Media,Leao,Pardo,Verde-Medio,Branco,Ectomorfo,Atletico,Quase-Incompativel
Masculino,Baixa,Libra,Afrodescendente,Castanho-Medio,Castanho-Escuro,Mesomorfo,Magro,Incompativel
Femino,Media,Gemeos,Pardo,Verde-Medio,Castanho-Claro,Endomorfo,Atletico,Incompativel
Masculino,Abaixo-da-Media,Cancer,Mulato,Preto,Grisalho,Mesomorfo,Obeso,Quase-Incompativel
Femino,Alta,Cancer,Caucasiano,Verde-Escuro,Castanho-Escuro,Ectomorfo,Raquitico,Incompativel
Femino,Baixa,Cancer,Caucasiano,Azul-Medio,Branco,Ectomorfo,Atletico,Quase-Incompativel
Femino,Baixa,Capricornio,Asiatico,Castanho-Escuro,Castanho-Claro,Ectomorfo,Atletico,Quase-Incompativel
Femino,Baixa,Virgem,Asiatico,Castanho-Escuro,Castanho-Claro,Endomorfo,Obeso,Quase-Incompativel
Masculino,Media,Capricornio,Caucasiano,Verde-Escuro,Castanho-Medio,Endomorfo,Raquitico,Compativel
Femino,Alta,Aquario,Asiatico,Preto,Castanho-Medio,Mesomorfo,Magro,Incompativel
Femino,Media,Sagitario,Asiatico,Castanho-Escuro,Castanho-Medio,Ectomorfo,Bombado,Incompativel
Masculino,Media,Aries,Pardo,Verde-Escuro,Branco,Ectomorfo,Bombado,Quase-Compativel
Femino,Abaixo-da-Media,Virgem,Afrodescendente,Castanho-Medio,Castanho-Escuro,Mesomorfo,Obeso,Incompativel
Femino,Media,Touro,Asiatico,Castanho-Escuro,Grisalho,Mesomorfo,Bombado,Quase-Incompativel
Masculino,Media,Touro,Asiatico,Castanho-Escuro,Castanho-Escuro,Ectomorfo,Raquitico,Compativel
Masculino,Abaixo-da-Media,Peixes,Caucasiano,Azul-Medio,Ruivo-Escuro,Endomorfo,Atletico,Quase-Incompativel
Femino,Abaixo-da-Media,Leao,Afrodescendente,Verde-Medio,Branco,Ectomorfo,Bombado,Quase-Incompativel
Masculino,Media,Capricornio,Afrodescendente,Preto,Castanho-Escuro,Ectomorfo,Magro,Compativel
Masculino,Baixa,Leao,Pardo,Castanho-Claro,Branco,Ectomorfo,Obeso,Quase-Incompativel
Femino,Alta,Capricornio,Mulato,Castanho-Claro,Preto,Mesomorfo,Gordo,Incompativel
Femino,Acima-da-Media,Escorpiao,Pardo,Verde-claro,Preto,Endomorfo,Magro,Quase-Incompativel
Masculino,Baixa,Sagitario,Afrodescendente,Castanho-Claro,Grisalho,Endomorfo,Magro,Quase-Incompativel
Femino,Alta,Libra,Caucasiano,Azul-Claro,Castanho-Escuro,Endomorfo,Gordo,Quase-Incompativel
Femino,Abaixo-da-Media,Virgem,Pardo,Preto,Preto,Mesomorfo,Magro,Quase-Incompativel
Masculino,Media,Aquario,Afrodescendente,Preto,Preto,Endomorfo,Gordo,Compativel
Masculino,Alta,Gemeos,Pardo,Castanho-Claro,Ruivo-Medio,Ectomorfo,Atletico,Quase-Compativel
Femino,Alta,Sagitario,Afrodescendente,Verde-Medio,Ruivo-Medio,Endomorfo,Bombado,Quase-Incompativel
Masculino,Media,Capricornio,Caucasiano,Verde-Medio,Grisalho,Endomorfo,Atletico,Quase-Incompativel
Masculino,Acima-da-Media,Virgem,Afrodescendente,Castanho-Escuro,Castanho-Escuro,Ectomorfo,Obeso,Incompativel
Masculino,Abaixo-da-Media,Leao,Afrodescendente,Castanho-Claro,Grisalho,Mesomorfo,Magro,Incompativel
Femino,Baixa,Libra,Afrodescendente,Castanho-Escuro,Preto,Endomorfo,Bombado,Quase-Incompativel
Femino,Alta,Aries,Asiatico,Preto,Ruivo-Medio,Ectomorfo,Obeso,Incompativel
Femino,Media,Peixes,Pardo,Preto,Preto,Mesomorfo,Raquitico,Incompativel
Femino,Acima-da-Media,Libra,Afrodescendente,Castanho-Medio,Preto,Mesomorfo,Raquitico,Incompativel
Femino,Acima-da-Media,Sagitario,Asiatico,Castanho-Claro,Preto,Mesomorfo,Obeso,Incompativel
Femino,Abaixo-da-Media,Peixes,Asiatico,Preto,Ruivo-Medio,Mesomorfo,Obeso,Quase-Incompativel
Femino,Alta,Escorpiao,Mulato,Castanho-Escuro,Castanho-Claro,Ectomorfo,Gordo,Incompativel
Femino,Media,Gemeos,Caucasiano,Verde-claro,Loiro-Medio,Ectomorfo,Raquitico,Incompativel
Masculino,Baixa,Libra,Asiatico,Preto,Branco,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Baixa,Touro,Afrodescendente,Preto,Preto,Ectomorfo,Gordo,Quase-Incompativel
Femino,Media,Aquario,Caucasiano,Castanho-Claro,Loiro-Escuro,Endomorfo,Raquitico,Incompativel
Femino,Acima-da-Media,Leao,Caucasiano,Verde-Medio,Loiro-Claro,Mesomorfo,Gordo,Incompativel
Femino,Baixa,Cancer,Caucasiano,Azul-Medio,Ruivo-Medio,Mesomorfo,Magro,Incompativel
Masculino,Acima-da-Media,Gemeos,Asiatico,Castanho-Medio,Castanho-Claro,Mesomorfo,Bombado,Quase-Compativel
Masculino,Media,Leao,Pardo,Verde-Medio,Branco,Ectomorfo,Raquitico,Compativel
Masculino,Alta,Capricornio,Mulato,Castanho-Medio,Castanho-Claro,Mesomorfo,Obeso,Incompativel
Masculino,Media,Gemeos,Pardo,Castanho-Medio,Branco,Ectomorfo,Raquitico,Quase-Compativel
Femino,Baixa,Leao,Afrodescendente,Verde-claro,Ruivo-Medio,Endomorfo,Gordo,Quase-Incompativel
Femino,Abaixo-da-Media,Escorpiao,Afrodescendente,Castanho-Escuro,Preto,Ectomorfo,Raquitico,Incompativel
Masculino,Media,Escorpiao,Pardo,Verde-Escuro,Grisalho,Ectomorfo,Gordo,Incompativel
Masculino,Alta,Aquario,Caucasiano,Castanho-Medio,Ruivo-claro,Mesomorfo,Magro,Quase-Compativel
Femino,Acima-da-Media,Gemeos,Asiatico,Castanho-Claro,Grisalho,Mesomorfo,Atletico,Incompativel
Masculino,Baixa,Peixes,Caucasiano,Preto,Grisalho,Endomorfo,Bombado,Quase-Incompativel
Masculino,Alta,Cancer,Pardo,Castanho-Claro,Preto,Mesomorfo,Gordo,Compativel
Femino,Abaixo-da-Media,Touro,Pardo,Castanho-Claro,Branco,Mesomorfo,Bombado,Quase-Incompativel
Masculino,Abaixo-da-Media,Capricornio,Caucasiano,Castanho-Claro,Castanho-Medio,Endomorfo,Atletico,Quase-Incompativel
Masculino,Alta,Libra,Pardo,Castanho-Claro,Preto,Endomorfo,Bombado,Compativel
Masculino,Baixa,Sagitario,Mulato,Verde-Escuro,Castanho-Medio,Endomorfo,Raquitico,Quase-Incompativel
Masculino,Media,Aries,Caucasiano,Verde-Medio,Loiro-Medio,Endomorfo,Gordo,Compativel
Masculino,Abaixo-da-Media,Libra,Caucasiano,Verde-claro,Loiro-Escuro,Endomorfo,Raquitico,Incompativel
Femino,Alta,Escorpiao,Caucasiano,Castanho-Medio,Preto,Ectomorfo,Raquitico,Quase-Incompativel
Femino,Media,Peixes,Afrodescendente,Verde-Escuro,Castanho-Claro,Mesomorfo,Bombado,Incompativel
