%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%		
%	Nome: Jhordan Abdalla Arrojo Martinez
%	Nome: Stevan Mosquetti Ribeiro
%							
%											24 Horas de Le Mans
%											(24 Heures du Mans)
%
%
%	Base de dados com registros de veículos da competição. Em Le Mans todos os veículos correm ao mesmo tempo mas só competem por colocações dentro de suas respectivas classes, estas são:
%
%	°LMP1: Le Mans Prototype 1; 
%	°LMP2: Le Mans Prototype 2; 
%	°LM_GTE_Pro: Le Mans Grand Touring Endurance Professional; 
%	°LM_GTE_Am: Le Mans Grand Touring Endurance Amateur.
%
%
% ATRIBUTO: velocidade (contínuo, REAL). Define a velocidade máxima (mph) do veículo (maior = melhor).
% ATRIBUTO: peso (contínuo, REAL). Define o peso do veículo (influência na dirigibilidade e aceleração, maior = pior).
% ATRIBUTO: potencia (contínuo, REAL). Define a força do motor em cavalos de potência (influencia na velocidade e aceleração, maior = melhor).
% ATRIBUTO:	idade (contínuo, REAL). Define por quantos anos o modelo do veículo está em produção (competidores da categoria LM_GTE_Am não podem correr com veículos de modelo mais novo que 1 ano). 
% ATRIBUTO: categoria (classe) LMP1, LMP2, LM_GTE_Pro, LM_GTE_Am. Define a categoria em que o veículo estará competindo.
%
% EXEMPLO: Aston Martin Vantage GT2
%			velocidade: 200
%			peso: 1245 
%			potencia: 500
%			idade: 0
%			categoria: LM_GTE_Pro
%
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION lemans

@ATTRIBUTE velocidade			REAL					
@ATTRIBUTE peso					REAL				
@ATTRIBUTE potencia				REAL	
@ATTRIBUTE idade				REAL	
@ATTRIBUTE categoria			{LMP1,LMP2,LM_GTE_Pro,LM_GTE_Am}					

@DATA
197,1260,512,1,LM_GTE_Pro
200,979,566,0,LMP2
209,974,569,0,LMP2
217,862,1053,0,LMP1
208,992,544,0,LMP2
217,879,1043,0,LMP1
199,1216,485,1,LM_GTE_Pro
211,940,513,0,LMP2
213,911,565,0,LMP2
196,1232,506,0,LM_GTE_Pro
192,1222,451,1,LM_GTE_Pro
218,855,1068,0,LMP1
213,978,559,0,LMP2
197,1259,452,1,LM_GTE_Pro
202,949,498,0,LMP2
196,1242,489,0,LM_GTE_Pro
214,975,532,0,LMP2
198,1255,460,0,LM_GTE_Pro
212,911,526,0,LMP2
213,906,529,0,LMP2
219,881,1013,0,LMP1
201,906,500,0,LMP2
203,938,500,0,LMP2
199,1243,518,1,LM_GTE_Pro
208,959,501,0,LMP2
217,868,1166,0,LMP1
200,912,519,0,LMP2
207,981,561,0,LMP2
215,919,1154,0,LMP1
214,941,523,0,LMP2
207,921,543,0,LMP2
206,958,507,0,LMP2
215,872,1113,0,LMP1
195,1227,485,0,LM_GTE_Pro
211,970,503,0,LMP2
215,937,1164,0,LMP1
200,919,562,0,LMP2
209,965,544,0,LMP2
216,929,1236,0,LMP1
215,927,1134,0,LMP1
204,950,530,0,LMP2
212,984,511,0,LMP2
198,1261,507,0,LM_GTE_Pro
202,958,540,0,LMP2
194,1245,548,0,LM_GTE_Pro
191,1236,526,0,LM_GTE_Pro
219,871,1114,0,LMP1
210,955,497,0,LMP2
216,880,1036,0,LMP1
192,1267,486,0,LM_GTE_Pro
203,977,560,0,LMP2
190,1236,543,1,LM_GTE_Pro
208,913,567,0,LMP2
211,907,538,0,LMP2
198,1265,468,0,LM_GTE_Pro
197,1271,482,0,LM_GTE_Pro
200,967,529,0,LMP2
206,942,561,0,LMP2
195,1278,557,1,LM_GTE_Pro
205,975,536,0,LMP2
201,962,518,0,LMP2
209,977,563,0,LMP2
206,997,504,0,LMP2
212,974,483,0,LMP2
215,862,1056,0,LMP1
214,900,550,0,LMP2
203,938,489,0,LMP2
190,1250,548,0,LM_GTE_Pro
196,1271,501,0,LM_GTE_Pro
214,985,563,0,LMP2
191,1212,507,1,LM_GTE_Pro
213,957,547,0,LMP2
212,965,495,0,LMP2
220,934,1008,0,LMP1
218,950,1086,0,LMP1
214,902,549,0,LMP2
219,866,1106,0,LMP1
191,1227,462,1,LM_GTE_Pro
193,1256,480,1,LM_GTE_Pro
201,941,552,0,LMP2
207,946,562,0,LMP2
192,1205,518,0,LM_GTE_Pro
199,1277,558,1,LM_GTE_Pro
206,991,482,0,LMP2
205,934,545,0,LMP2
215,885,1159,0,LMP1
204,936,490,0,LMP2
207,952,533,0,LMP2
212,958,481,0,LMP2
197,1276,531,1,LM_GTE_Pro
216,949,993,0,LMP1
210,919,483,0,LMP2
200,929,548,0,LMP2
216,850,1208,0,LMP1
193,1209,558,1,LM_GTE_Pro
210,900,536,0,LMP2
217,906,1001,0,LMP1
201,919,517,0,LMP2
217,922,1041,0,LMP1
219,909,987,0,LMP1
219,856,1087,0,LMP1
192,1226,451,1,LM_GTE_Pro
206,947,529,0,LMP2
200,958,507,0,LMP2
205,915,532,0,LMP2
205,950,526,0,LMP2
202,904,547,0,LMP2
203,966,527,0,LMP2
217,880,1131,0,LMP1
209,925,530,0,LMP2
211,971,504,0,LMP2
191,1245,530,1,LM_GTE_Pro
207,990,509,0,LMP2
215,933,1130,0,LMP1
202,911,507,0,LMP2
217,892,1056,0,LMP1
216,904,1201,0,LMP1
210,958,522,0,LMP2
213,952,518,0,LMP2
194,1232,532,0,LM_GTE_Pro
194,1240,555,0,LM_GTE_Pro
207,974,522,0,LMP2
218,850,1174,0,LMP1
219,865,1196,0,LMP1
213,900,533,0,LMP2
218,875,1202,0,LMP1
204,968,522,0,LMP2
197,1230,495,0,LM_GTE_Pro
208,931,538,0,LMP2
198,1252,561,1,LM_GTE_Pro
196,1211,560,0,LM_GTE_Pro
201,923,543,0,LMP2
192,1203,477,0,LM_GTE_Pro
192,1238,508,0,LM_GTE_Pro
219,882,1192,0,LMP1
190,1254,503,1,LM_GTE_Pro
197,1224,488,1,LM_GTE_Pro
190,1252,522,0,LM_GTE_Pro
198,1266,505,1,LM_GTE_Pro
219,919,1154,0,LMP1
199,1230,535,1,LM_GTE_Pro
202,952,566,0,LMP2
202,937,499,0,LMP2
199,1260,547,1,LM_GTE_Pro
220,908,983,0,LMP1
194,1241,474,0,LM_GTE_Pro
200,989,509,0,LMP2
212,900,540,0,LMP2
215,938,1191,0,LMP1
190,1279,557,0,LM_GTE_Pro
207,957,494,0,LMP2
194,1236,487,1,LM_GTE_Pro
213,982,489,0,LMP2
198,1213,562,1,LM_GTE_Pro
214,966,524,0,LMP2
195,1208,557,1,LM_GTE_Pro
215,877,1240,0,LMP1
212,900,486,0,LMP2
209,990,501,0,LMP2
191,1200,460,0,LM_GTE_Pro
214,986,548,0,LMP2
218,881,1135,0,LMP1
209,911,538,0,LMP2
192,1274,491,1,LM_GTE_Pro
205,963,538,0,LMP2
209,967,565,0,LMP2
201,908,516,0,LMP2
201,922,507,0,LMP2
206,972,550,0,LMP2
204,915,516,0,LMP2
195,1200,472,0,LM_GTE_Pro
195,1222,485,1,LM_GTE_Pro
196,1204,542,0,LM_GTE_Pro
191,1259,481,1,LM_GTE_Pro
207,1000,511,0,LMP2
191,1259,490,0,LM_GTE_Pro
212,997,538,0,LMP2
218,944,1160,0,LMP1
190,1216,465,1,LM_GTE_Pro
199,1200,541,1,LM_GTE_Pro
194,1217,502,0,LM_GTE_Pro
212,947,513,0,LMP2
219,917,1238,0,LMP1
214,949,512,0,LMP2
212,953,533,0,LMP2
191,1242,467,0,LM_GTE_Pro
220,870,1035,0,LMP1
212,978,534,0,LMP2
220,894,1234,0,LMP1
211,986,534,0,LMP2
191,1226,483,0,LM_GTE_Pro
213,988,528,0,LMP2
211,1000,536,0,LMP2
214,960,495,0,LMP2
220,927,1078,0,LMP1
213,992,532,0,LMP2
205,978,509,0,LMP2
218,887,995,0,LMP1
197,1212,517,1,LM_GTE_Pro
203,987,503,0,LMP2
197,1223,501,1,LM_GTE_Pro
211,990,530,0,LMP2
196,1213,460,0,LM_GTE_Pro
199,1228,510,0,LM_GTE_Pro
206,988,529,0,LMP2
219,860,1063,0,LMP1
211,926,516,0,LMP2
216,923,1081,0,LMP1
211,936,483,0,LMP2
218,937,1168,0,LMP1
207,969,542,0,LMP2
209,902,554,0,LMP2
214,938,498,0,LMP2
190,1258,483,0,LM_GTE_Pro
215,938,1149,0,LMP1
191,1253,557,0,LM_GTE_Pro
194,1257,506,1,LM_GTE_Pro
197,1213,552,0,LM_GTE_Pro
219,934,1195,0,LMP1
193,1250,556,0,LM_GTE_Pro
217,871,1236,0,LMP1
191,1277,533,1,LM_GTE_Pro
212,941,490,0,LMP2
219,869,1185,0,LMP1
192,1248,477,0,LM_GTE_Pro
198,1276,546,0,LM_GTE_Pro
192,1228,529,0,LM_GTE_Pro
205,983,531,0,LMP2
197,1256,496,0,LM_GTE_Pro
203,974,519,0,LMP2
192,1204,513,1,LM_GTE_Pro
217,942,1207,0,LMP1
193,1215,496,1,LM_GTE_Pro
201,944,542,0,LMP2
217,861,1096,0,LMP1
195,1240,453,1,LM_GTE_Pro
215,850,1034,0,LMP1
194,1222,517,0,LM_GTE_Pro
193,1259,465,0,LM_GTE_Pro
195,1200,505,1,LM_GTE_Pro
204,963,554,0,LMP2
218,917,1174,0,LMP1
190,1261,482,0,LM_GTE_Pro
206,948,483,0,LMP2
219,903,1148,0,LMP1
198,1255,508,1,LM_GTE_Pro
207,902,511,0,LMP2
198,1248,494,0,LM_GTE_Pro
194,1207,506,0,LM_GTE_Pro
198,1274,520,1,LM_GTE_Pro
209,987,560,0,LMP2
214,940,522,0,LMP2
192,1249,477,0,LM_GTE_Pro
202,929,552,0,LMP2
207,932,544,0,LMP2
219,935,1018,0,LMP1
220,948,1056,0,LMP1
194,1225,470,0,LM_GTE_Pro
209,968,506,0,LMP2
218,910,1140,0,LMP1
210,902,565,0,LMP2
214,915,480,0,LMP2
203,991,493,0,LMP2
211,979,523,0,LMP2
191,1233,531,0,LM_GTE_Pro
192,1268,525,0,LM_GTE_Pro
197,1265,558,1,LM_GTE_Pro
219,875,1243,0,LMP1
205,942,504,0,LMP2
205,968,508,0,LMP2
203,938,521,0,LMP2
207,914,520,0,LMP2
198,1257,520,0,LM_GTE_Pro
195,1231,492,1,LM_GTE_Pro
201,914,563,0,LMP2
194,1279,506,0,LM_GTE_Pro
214,946,498,0,LMP2
208,925,544,0,LMP2
207,984,549,0,LMP2
197,1268,543,0,LM_GTE_Pro
208,973,516,0,LMP2
207,994,486,0,LMP2
207,993,565,0,LMP2
200,915,551,0,LMP2
207,979,501,0,LMP2
197,1213,451,1,LM_GTE_Am
214,997,553,0,LMP2
210,902,507,0,LMP2
204,931,503,0,LMP2
195,1226,485,0,LM_GTE_Pro
206,901,514,0,LMP2
195,1261,557,0,LM_GTE_Pro
209,901,518,0,LMP2
193,1240,562,0,LM_GTE_Pro
191,1273,556,0,LM_GTE_Pro
220,933,1039,0,LMP1
216,935,981,0,LMP1
207,958,542,0,LMP2
213,951,536,0,LMP2
195,1250,483,1,LM_GTE_Pro
209,968,559,0,LMP2
209,918,520,0,LMP2
202,943,484,0,LMP2
204,933,497,0,LMP2
216,869,1006,0,LMP1
208,954,558,0,LMP2
194,1275,510,0,LM_GTE_Pro
193,1273,563,1,LM_GTE_Pro
209,935,569,0,LMP2
190,1212,478,1,LM_GTE_Pro
201,903,484,0,LMP2
196,1215,482,1,LM_GTE_Pro
192,1213,548,1,LM_GTE_Pro
205,954,535,0,LMP2
220,879,982,0,LMP1
197,1249,558,1,LM_GTE_Pro
220,915,982,0,LMP1
204,950,510,0,LMP2
217,925,1055,0,LMP1
204,941,538,0,LMP2
200,971,557,0,LMP2
213,936,486,0,LMP2
191,1255,500,0,LM_GTE_Pro
210,917,552,0,LMP2
202,940,485,0,LMP2
218,861,1063,0,LMP1
202,974,558,0,LMP2
197,1252,455,1,LM_GTE_Pro
196,1241,519,0,LM_GTE_Pro
209,970,532,0,LMP2
195,1280,489,1,LM_GTE_Pro
204,958,568,0,LMP2
197,1238,487,0,LM_GTE_Pro
195,1222,458,1,LM_GTE_Pro
194,1207,492,0,LM_GTE_Pro
191,1213,555,0,LM_GTE_Pro
193,1239,538,1,LM_GTE_Pro
193,1213,469,0,LM_GTE_Pro
190,1213,526,1,LM_GTE_Pro
218,857,1048,0,LMP1
217,923,1222,0,LMP1
202,936,533,0,LMP2
190,1211,526,1,LM_GTE_Pro
197,1240,558,0,LM_GTE_Pro
216,942,1069,0,LMP1
215,913,988,0,LMP1
192,1264,458,0,LM_GTE_Pro
211,937,483,0,LMP2
213,932,554,0,LMP2
194,1213,551,0,LM_GTE_Pro
194,1264,516,1,LM_GTE_Pro
211,990,515,0,LMP2
218,851,1048,0,LMP1
194,1264,490,0,LM_GTE_Pro
195,1238,493,1,LM_GTE_Pro
194,1212,501,1,LM_GTE_Pro
215,949,1194,0,LMP1
200,926,543,0,LMP2
217,899,1173,0,LMP1
198,1217,494,0,LM_GTE_Pro
191,1232,512,0,LM_GTE_Pro
204,958,481,0,LMP2
214,974,493,0,LMP2
194,1270,518,0,LM_GTE_Pro
209,984,508,0,LMP2
206,917,554,0,LMP2
206,980,485,0,LMP2
199,1261,536,1,LM_GTE_Pro
200,950,524,0,LMP2
209,935,548,0,LMP2
214,971,518,0,LMP2
212,984,561,0,LMP2
207,966,563,0,LMP2
219,860,1103,0,LMP1
214,986,560,0,LMP2
194,1267,551,0,LM_GTE_Pro
198,1219,543,1,LM_GTE_Pro
193,1207,507,0,LM_GTE_Pro
217,924,1126,0,LMP1
210,911,509,0,LMP2
213,904,540,0,LMP2
199,1279,551,1,LM_GTE_Pro
206,922,485,0,LMP2
195,1276,550,0,LM_GTE_Pro
211,909,569,0,LMP2
192,1265,509,1,LM_GTE_Pro
212,909,500,0,LMP2
195,1215,511,0,LM_GTE_Pro
209,924,482,0,LMP2
193,1200,503,1,LM_GTE_Pro
208,989,558,0,LMP2
208,918,513,0,LMP2
217,937,1085,0,LMP1
219,919,1085,0,LMP1
211,905,534,0,LMP2
208,953,528,0,LMP2
212,908,539,0,LMP2
211,941,533,0,LMP2
214,963,551,0,LMP2
215,946,1048,0,LMP1
196,1255,543,0,LM_GTE_Pro
204,906,538,0,LMP2
202,971,534,0,LMP2
191,1233,487,0,LM_GTE_Pro
207,908,536,0,LMP2
209,991,529,0,LMP2
211,926,512,0,LMP2
202,941,565,0,LMP2
212,929,550,0,LMP2
207,938,564,0,LMP2
201,920,488,0,LMP2
209,953,535,0,LMP2
197,1217,553,0,LM_GTE_Pro
219,938,1053,0,LMP1
214,948,553,0,LMP2
207,952,565,0,LMP2
210,992,489,0,LMP2
202,915,504,0,LMP2
214,951,550,0,LMP2
198,1260,524,1,LM_GTE_Pro
216,909,999,0,LMP1
209,995,517,0,LMP2
213,913,566,0,LMP2
220,851,1184,0,LMP1
216,914,1250,0,LMP1
196,1244,538,0,LM_GTE_Pro
201,959,492,0,LMP2
193,1229,503,1,LM_GTE_Pro
208,996,558,0,LMP2
202,948,483,0,LMP2
192,1228,472,1,LM_GTE_Pro
220,864,1173,0,LMP1
199,1260,456,0,LM_GTE_Pro
197,1258,468,1,LM_GTE_Pro
202,976,519,0,LMP2
196,1203,506,0,LM_GTE_Pro
209,905,557,0,LMP2
200,903,533,0,LMP2
205,916,489,0,LMP2
211,992,564,0,LMP2
218,917,1177,0,LMP1
213,905,515,0,LMP2
208,906,517,0,LMP2
195,1275,488,1,LM_GTE_Pro
195,1235,474,1,LM_GTE_Pro
208,977,554,0,LMP2
197,1254,522,1,LM_GTE_Pro
211,900,565,0,LMP2
210,943,564,0,LMP2
194,1278,451,1,LM_GTE_Pro
208,960,535,0,LMP2
206,997,559,0,LMP2
210,968,548,0,LMP2
215,884,1028,0,LMP1
200,963,529,0,LMP2
190,1209,528,0,LM_GTE_Pro
193,1224,506,0,LM_GTE_Pro
201,910,550,0,LMP2
200,998,513,0,LMP2
191,1203,495,1,LM_GTE_Pro
199,1200,519,0,LM_GTE_Pro
194,1239,503,0,LM_GTE_Pro
191,1219,474,0,LM_GTE_Pro
205,976,481,0,LMP2
190,1212,504,1,LM_GTE_Pro
220,862,1212,0,LMP1
213,917,518,0,LMP2
195,1234,529,0,LM_GTE_Pro
206,970,508,0,LMP2
204,962,518,0,LMP2
220,909,1204,0,LMP1
203,922,521,0,LMP2
199,1272,532,0,LM_GTE_Pro
196,1212,544,1,LM_GTE_Pro
198,1233,462,0,LM_GTE_Pro
192,1267,452,1,LM_GTE_Pro
220,891,1047,0,LMP1
195,1271,494,0,LM_GTE_Pro
192,1203,509,0,LM_GTE_Pro
204,972,523,0,LMP2
211,966,536,0,LMP2
218,939,1123,0,LMP1
206,939,493,0,LMP2
191,1239,505,0,LM_GTE_Pro
198,1219,469,0,LM_GTE_Pro
220,911,1117,0,LMP1
198,1213,451,0,LM_GTE_Pro
202,924,496,0,LMP2
205,976,539,0,LMP2
216,860,1182,0,LMP1
193,1254,450,0,LM_GTE_Pro
220,929,1221,0,LMP1
194,1233,485,0,LM_GTE_Pro
190,1243,524,1,LM_GTE_Pro
202,963,512,0,LMP2
198,1209,516,0,LM_GTE_Pro
216,938,1191,0,LMP1
198,1247,463,1,LM_GTE_Pro
220,947,1192,0,LMP1
195,1259,552,0,LM_GTE_Pro
193,1217,452,0,LM_GTE_Pro
196,1273,553,0,LM_GTE_Pro
195,1207,558,1,LM_GTE_Pro
220,904,1020,0,LMP1
199,1252,472,1,LM_GTE_Pro
202,930,500,0,LMP2
217,898,1143,0,LMP1
204,966,568,0,LMP2
215,879,1026,0,LMP1
204,910,543,0,LMP2
198,1238,556,0,LM_GTE_Pro
195,1265,558,1,LM_GTE_Pro
207,924,530,0,LMP2
193,1217,460,1,LM_GTE_Pro
199,1238,530,0,LM_GTE_Pro
